,0_6.0_80
2021-10-18,30497.343907561848
2021-10-19,28765.25305242648
2021-10-20,27121.252533824776
2021-10-21,25561.33608348347
2021-10-22,24084.052598155424
2021-10-23,22692.750097112308
2021-10-24,21383.581068189
2021-10-25,20150.855768568894
2021-10-26,18989.784859183284
2021-10-27,17899.476093934554
2021-10-28,16885.997964006237
2021-10-29,15942.246190483476
2021-10-30,15056.18687270898
2021-10-31,14220.172284231716
2021-11-01,13429.247692681234
2021-11-02,12680.643906607822
2021-11-03,11971.700445747809
2021-11-04,11302.480929449339
2021-11-05,10672.558782917236
2021-11-06,10078.840638308067
2021-11-07,9518.787588731897
2021-11-08,8991.78879868537
2021-11-09,8504.87538529864
2021-11-10,8056.9859194546725
2021-11-11,7639.102365005759
2021-11-12,7244.136761227479
2021-11-13,6869.164979899364
2021-11-14,6514.12217410391
2021-11-15,6177.009915308716
2021-11-16,5857.653886166335
2021-11-17,5556.365815079844
2021-11-18,5272.446295253289
2021-11-19,5004.246321072005
2021-11-20,4749.743964950481
2021-11-21,4508.088742138684
2021-11-22,4278.8052332937905
2021-11-23,4060.625201608806
2021-11-24,3853.5551913236254
2021-11-25,3657.128800161943
2021-11-26,3469.854215364819
2021-11-27,3290.6603666528645
2021-11-28,3119.1103976822847
2021-11-29,2955.973727669964
