,Base 1,Base 1 -30,Base 1 -20,Base 1 -10,Base 1 +10,Base 1 +20,Base 1 +30,Base 2 -30,Base 2 -20,Base 2 -10,Base 2,Base 3 -30,Base 3 -20,Base 3 -10,Base 3
2022-02-28,664.6337046379297,318.5559548872911,456.86345334464994,583.546086775201,677.0695346126842,677.0695346126842,677.0695346126842,345.005875139694,475.92497330495763,592.4704808631019,665.8722159734859,19823.649967957983,29406.655424227076,38537.10613408798,45042.84356411879
2022-03-01,708.6395753928015,328.69294204694256,476.53412059424306,615.199059753424,727.3455425054215,727.3455425054215,727.3455425054215,357.5454452261258,497.9697103526115,625.8247565196398,710.4987945560671,21323.295984709363,31722.31156751471,41774.116390719704,49308.39977670774
2022-03-02,754.8163581874779,338.88633848097186,496.66291031848834,648.0474508336509,781.520344910212,781.520344910212,781.520344910212,370.29303068392943,520.6859025272694,660.5976144206173,757.463935982838,22844.719187724793,34039.522110944825,44987.30276405282,53561.76278014936
2022-03-03,803.1781625187302,349.08639226975697,517.1894876147321,682.0459852831206,839.8426839615753,839.8426839615753,839.8426839615753,383.20133670378084,544.024095098703,696.7626155239873,806.8025297701149,24369.672653102214,36320.31329712954,48111.77792577252,57707.85126022624
2022-03-04,853.8126269840485,359.28350846830216,538.1073245178575,717.2147252351713,902.6633147357733,902.6633147357733,902.6633147357733,396.265715836052,567.9906704818283,734.3604813007229,858.6249827156075,25882.24527893484,38529.735411623595,51086.130185682356,61652.89782104286
2022-03-05,906.9746864209908,369.5487226150203,559.5236155223602,753.7183580928436,970.3544007916581,970.5376896135487,970.5376896135487,409.56866257139177,592.7110268502622,773.5803177106319,913.211703383878,27374.210259588064,40644.02754315659,53863.92292147312,65319.42930962099
2022-03-06,962.8953521495027,379.93637974402515,581.5237033738879,791.6966095568827,1042.7455503125075,1044.0339437011007,1044.0339437011007,423.1752807419393,618.2888774334854,814.587639269066,970.8216129685151,28834.66546279203,42636.54194087751,56397.00863183725,68628.85993063873
2022-03-07,1021.524891091311,390.3688438483652,604.00343890509,831.045554412987,1119.5619760485797,1123.4643687906157,1123.4643687906157,437.00733750514564,644.6301194681862,857.3008327478318,1031.433966027422,30236.601181643928,44459.71051226832,58614.06591314415,71478.42302323286
2022-03-08,1082.828492198989,400.779335790267,626.8717955435882,871.6755375725728,1200.7430503785558,1209.1950233531586,1209.1950233531586,450.997746998871,671.6541609458466,901.6536204475426,1095.045159460244,31553.99438721634,46070.12919515046,60453.61126362709,73781.34046197346
2022-03-09,1146.7903484738597,411.11481822273885,650.0546348077537,913.5153993893078,1286.3369222543045,1301.6520692747004,1301.6520692747004,465.09355643496633,699.2976680326954,947.5991950019721,1161.6727788575686,32762.733094706742,47430.512079299915,61867.228464009386,75471.97993530802
2022-03-10,1213.42385023482,421.33946229273556,673.5003982559019,956.5205796434107,1376.4632192022852,1401.3365350114136,1401.3365350114136,479.2599048335453,727.5206796515316,995.1186008388138,1231.3659504431619,33841.84088835727,48511.84671694044,62822.59913972961,76510.23019391688
2022-03-11,1282.7789987320778,431.43603383067415,697.1831547422776,1000.6783006277644,1471.3002783782567,1508.8375313666463,1508.8375313666463,493.4818411242909,756.3100944915568,1044.22627046652,1304.21299681812,34774.41531100094,49294.84037668286,63305.08894575643,76883.43941844157
2022-03-12,1355.0153432554093,441.4316565132491,721.1433994336747,1046.0651802538418,1571.1583271264672,1624.9217943863641,1624.9217943863641,507.79354978226985,785.7237114417482,1095.0300050859184,1380.4156022464908,35551.58920783606,49775.05958267685,63323.271877242165,76612.13098000076
2022-03-13,1430.3300547580568,451.36654025597574,745.442095939138,1092.7866240996957,1676.3980294032594,1750.4621301551063,1750.4621301551063,522.2440419657054,815.8417904825128,1147.6689119391417,1460.2165102250394,36168.74198021883,49957.20405076668,62900.62486415075,75739.01305990842
2022-03-14,1508.573811926079,461.1531533687041,769.9414184680759,1140.6708597734685,1786.9933797314636,1885.995435104261,1885.995435104261,536.7384763797727,846.5311785046677,1201.9954049563248,1543.5095351915636,36607.58733150463,49831.007370963365,62045.35618233508,74292.87029728085
2022-03-15,1589.5186087700065,470.6833969119682,794.4670043867044,1189.4888492641528,1902.824779869002,2031.6504762006152,2032.0229586543942,551.1572671582186,877.6179037041915,1257.801846700522,1630.1100733424787,36851.08756866847,49391.018092749626,60773.63114173391,72314.10936638301
2022-03-16,1673.0795615865695,479.9086356667732,818.9334585004424,1239.1303517937306,2023.9305050040196,2186.651500064519,2189.2741394043464,565.446523111085,909.0223945231195,1315.0036534537103,1719.9804023817571,36894.11169395354,48649.564723941716,59123.53870163649,69868.96139901101
2022-03-17,1759.2159861073847,488.8021889030019,843.2867745011821,1289.5244810045292,2150.3951239344465,2350.639524310895,2358.5972661244527,579.5760330624587,940.6977451111039,1373.5568436925255,1813.1292786095516,36738.293612772584,47628.76439826106,57143.94135816258,67035.01568521328
2022-03-18,1847.9146114950381,497.3513776619004,867.4930384558855,1340.6252557443534,2282.331698310475,2523.6816806547395,2540.9477893819203,593.530662424179,972.6179132648736,1433.4432956547985,1909.5950795943818,36390.68591061514,46357.608765884994,54889.74164506869,63894.52616482542
2022-03-19,1939.325965527124,505.5975969799308,891.6059426203652,1392.513003943427,2420.046756469595,2706.2331659656406,2737.5757853732894,607.3573655643033,1004.8525694261209,1494.778399820599,2009.5862004618477,35868.076069239985,44876.058472038836,52425.41006777492,60537.27632023669
2022-03-20,2033.7270861193729,513.61977787158,915.742432814476,1445.362470329299,2564.001382894953,2899.003917074515,2949.9988098303843,621.1471026786555,1037.5416101139415,1557.7786954958983,2113.4439409238325,35193.68957098368,43229.836312615975,49818.205202913836,57052.349235697824
2022-03-21,2130.886065273072,521.3441935594875,939.7653725746205,1498.9691336620795,2714.042283852624,3102.073510090352,3179.1614199990636,634.8126815606857,1070.544011388562,1622.2591506414817,2220.9881945389548,34374.11606567726,41442.54431003965,47107.1486058401,53494.23380487778
2022-03-22,2230.5562328413166,528.6994246077849,963.5382632246578,1553.1236342437915,2869.989397389011,3315.502557371536,3426.074731855152,648.2682368456145,1103.717681630344,1688.0282555756896,2332.0241616446237,33418.51652991368,39538.72764509827,44329.10332368827,49911.815511617635
2022-03-23,2332.550282921667,535.6389726465496,986.9629292481819,1607.6677057226646,3031.7238256886244,3539.4173884531256,3691.9165705211935,661.4555819025669,1136.9609771573314,1754.947038140696,2446.418222358284,32340.69380527237,37546.00391460726,41521.21155483019,46351.247222560145
2022-03-24,2436.7155859005566,542.1330100888201,1009.9664211347833,1662.4753743466865,3199.157894744616,3773.9724087747813,3978.0040671438855,674.3347928466848,1170.1983891335592,1822.9091607393357,2564.072400098709,31157.348123675732,35492.77147310154,38718.54308314831,42853.69392268405
2022-03-25,2543.0166022624135,548.1876878365297,1032.5363242596911,1717.5101456933153,3372.3412639171415,4019.4708888176956,4285.160932143368,686.9079773586575,1203.4211302727088,1891.9032074591562,2685.010604186711,29889.160898134396,33409.1900586396,35955.29062958657,39457.372227271335
2022-03-26,2651.545629555339,553.8448859327673,1054.7223192324607,1772.8302492207636,3551.4779926597475,4276.38682151821,4612.182682530539,699.2197829691793,1236.6898797106871,1962.0193325469743,2809.3906313448642,28559.673305659995,31325.876680223846,33263.795479806955,36198.73733016915
