,sum_I_new,max_I_now
scenario_1222,6270396.184816432,1630004.198020005
scenario_1223,6399026.040145734,1663816.3756380214
scenario_1224,6222489.551654773,1619199.1319611997
scenario_1225,6092506.335827814,1584831.5962394204
scenario_1226,905637.3158865198,158379.83109402354
scenario_1227,848807.8578878436,143510.3535766718
scenario_1228,949934.5668522734,170305.38615268862
scenario_1229,848807.8578878436,143510.3535766718
scenario_1230,1077449.1455252003,183068.12578504172
scenario_1231,1691028.9586311425,339212.3964545517
scenario_1232,1059258.0828255718,178460.74224395517
scenario_1233,1052067.4416244628,176354.242345633
scenario_1234,941823.3424529815,147614.30024847877
scenario_1235,903984.5277917215,137810.7722102938
scenario_1236,1497375.7097936857,289412.3826636266
scenario_1237,1480895.5368990628,284059.6712236244
scenario_1238,1637975.6546642003,325521.0178578865
scenario_1239,1464779.025831773,280454.66137806175
scenario_1240,3879552.7778770155,946256.3634328308
scenario_1241,6909729.304218361,1768892.032165781
scenario_1242,1035502.2973563618,184044.85204357596
scenario_1243,3879552.7778770155,946256.3634328308
scenario_1244,2700152.9090232393,631033.9197654133
scenario_1245,401891.03591027245,69811.33055559018
scenario_1246,5886086.359018364,1502977.3879064238
scenario_1247,1510872.220320469,291053.5681808898
scenario_1248,2047831.8848113455,451387.6248662187
scenario_1249,1369542.6050915185,269968.9798753445
scenario_1250,2725002.964996064,651810.3603500071
scenario_1251,515333.80323743104,68677.79352807214
scenario_1252,4067896.016225799,1019044.7150995366
scenario_1253,2760144.7071152497,651810.3603500071
scenario_1254,3221486.5909445425,784747.0177949786
scenario_1255,4634377.804155257,1166936.5626328192
scenario_1256,899043.3597365322,148138.24650951562
scenario_1257,1253274.26055467,245323.0201293068
scenario_1258,963905.5088710643,162436.20008263914
scenario_1259,1304904.9632562764,250808.3150973952
scenario_1260,2609695.6456814082,606847.8673478955
scenario_1261,2295266.2160582906,520803.3883092802
scenario_1262,4796313.986482868,1196845.8176638992
scenario_1263,2609076.3603705913,606847.8673478955
scenario_1264,3252645.770487534,779158.9796998815
scenario_1265,5517816.080437833,1387978.9459522932
scenario_1266,2915160.123587933,687156.9509663914
scenario_1267,5157710.87932391,1290169.71222321
scenario_1268,4421307.111159398,1094778.4871885297
scenario_1269,5157710.87932391,1290169.71222321
scenario_1270,215070.72688553267,43958.40490452343
scenario_1271,3602224.0678644343,930187.7028351204
scenario_1272,264849.3270979728,49084.11285572416
scenario_1273,408440.74933513283,51260.75030277388
scenario_1274,244531.43664571497,45025.669567853976
scenario_1275,668122.5204837027,109829.64396350378
scenario_1276,4212334.033828402,1037760.490166656
scenario_1277,5014596.258070815,1308106.2478881388
scenario_1278,4684983.943347731,1204355.796128421
scenario_1279,5104460.159527841,1308106.2478881388
scenario_1280,1048700.5904365769,195044.39789239556
scenario_1281,2706268.60525468,629958.3886791092
scenario_1282,658453.6462690395,102574.8129862328
scenario_1283,1007924.2132322097,190250.09530510363
scenario_1284,750646.560786294,119167.28179873436
scenario_1285,338591.0405035993,52603.03701984566
scenario_1286,2155107.268790756,483940.4446100612
scenario_1287,1144945.8383775267,199387.32468449455
scenario_1288,1393176.2590775883,276827.1017475623
scenario_1289,1063502.6091312533,187322.09795532067
scenario_1290,793065.4690493171,110207.37421787472
scenario_1291,3378078.4086076613,853836.9574987408
scenario_1292,598625.2335891379,81420.8433293894
scenario_1293,864282.1537269107,122014.03781165468
scenario_1294,1264241.7828045131,231402.39856008947
scenario_1295,1187034.6862654742,207658.34080749544
scenario_1296,4233252.142524928,1064942.6503599724
scenario_1297,3304387.1033910997,815295.7795486469
scenario_1298,2630856.22930565,625440.5343055031
scenario_1299,3396909.5090218666,815745.5862961891
scenario_1300,3989260.1572460677,988551.3885521227
scenario_1301,3201231.3353585573,767726.3616959988
scenario_1302,2864902.145521747,669753.8850234611
scenario_1303,3981792.958433891,988551.3885521227
scenario_1304,3390285.803212857,830261.4565874111
scenario_1305,2320236.2006338346,533615.92630492
